Nome_praca,Latitude,Longitude
Praça Taxis - Olivais Norte,38.77748179325781,-9.117859633865931
Praça Taxis - Olivais Este,38.77283887209479,-9.113300213881258
Praça de Táxis - C. Comercial Vasco da Gama,38.769255690908246,-9.097378742722718
Taxis Lisboa Izzy Move,38.74228322863784,-9.12382734459197
Praça de Táxis - Paiva Couceiro,38.73324548711332,-9.127910234145574
Taxi-Link Lisboa - Táxis & Tranfers,38.72902748302374,-9.11047519226802
Retális - Rádio Táxis de Lisboa,38.72867099578151,-9.124362447154848
Táxi em Lisboa,38.74431052729869,-9.14529500405289
Autoope - Cooperativa de Táxis de Lisboa,38.74037637628509,-9.146682101130732
Praça de Táxis - El corte inglês,38.73555674591413,-9.151852190239042
"Lisboa Taxis   -  Táxis, Transfers e Tours",38.732507424035774,-9.151852190239042
Taxis Lisboa,38.73240905664659,-9.147816998739874
Lisboa Taxi,38.71666852977336,-9.147816998739874
Taxis - Largo da Trindade,38.71342161478511,-9.143529607772004
Taxi-Link - Táxis de Lisboa,38.71509428638038,-9.13911611706979
Praça de Táxis do Lumiar,38.77528439246715,-9.161183571683695
Praça de Táxis de Algés,38.705393525148416,-9.227705326284289
